10,A3UV55HC87DO9C.csv,A woman is out shopping with her child whom she is pushing in a shopping cart. They are in a parking lot about to head into a store. The women is wearing a pink shirt with jeans and has a white purse.,shopping cart,parking lot,parking lot,child,child,child's feet,mom's face,mom's arm,mom's jeans,mom's purse
10,A3VOMP0WOJTB4I.csv,A lady has put her child in a basket. She is having her purse in her hand.,tray,road,car,child,hands,legs,lady,chest,jeans,purse
10,AA7BTDZQNHW5.csv,A child is sitting in a grocery shop trolley and the mom is moving the trolley.,trolley,car,pickup truck,child's face,child's right hand,child's legs,woman's face,woman's left hand,jeans pant,white shoulder bag
10,ADVZAZ12Z8N9J.csv,THIS IMAGE IS OF A MOTHER PUSHING HER TODDLER DAUGHTER IN A SHOPPING CART THROUGH A PARKING LOT. THE MOTHER HAS A WHITE PURSE ON HER SHOULDER. ,CART,PARKING LOT,TRUCK,TODDLER,SHIRT,LEGS,FACE,ARMS,JEANS,PURSE11,A175PJR0W3LO8I.csv,A caucasian man wearing a turquoise colored T-shirt is painting a realistic image of a young woman on a paper canvas.,Irrelvant background,Back of man's head,Back of man's neck,Back of man's shoulder,Side view of man's face,man's left wrist,man's face and torso of another man in the background,unknown background object ,clip holding paper onto easel,painting of young woman by the man
11,A1C19XPG91AIXX.csv,A man is painting a portrait of a woman.,?,the man's hair,the back of the man's head,the man's shoulders,the man's face,the man's left hand,the man's nose and mouth,?,a clip holding the paper to the easel,portrait of a woman
11,A1DVKS3R9SLQ1H.csv,a person drawing a female picture on the paper,?,the person head,the person back head,the person shoulder,the person's ear,the person's hand,the person's mouth,?,paper,female drawing paper
11,A1XUZFDVKP95VC.csv,a man is sketching a young woman on paper,?,mans head,mans head and neck,mans shirt,mans head,persons arm,persons shoulder and arm,?,drawing,drawing
11,A2AVFNOKFHQ2ME.csv,It is a man drawing in a picture; in pencil; of a young woman with long hair. ,Can't tell ,The back of a man's head. ,The back of a man's neck and head.,A man's shirt,A man's face,A man's hand holding something.,A man's face with another man behind him bending over.,I'm not sure.,A paperclip holding papers.,A man's hand drawing a picture of a woman with long hair.
11,A2SBISQJE2ZPJQ.csv,one man draw the one woman picture with very sincerely,room,hair,head,shoulder,face,hand,body,table,paper with pad,woman picture
11,A3S0INU046UTYK.csv,A man is at an art event; painting a photo or portrait of a beautiful woman. There is another person visible behind the man painting. ,?,head,neck,back,face,hand,man,?,canvas,painting
11,A70L26UXLTGLC.csv,A man is creating a detailed sketch of a young woman. He looks to be in an art class or art studio. There is a another man in a sleeveless shirt in the background.,Nothing to describe.,The man's hair.,The man's hair and neck.,A blue shirt.,The side of a man's face.,The man's left hand.,Two men.,Something covered up.,A clip holding the paper in place.,The sketch of a woman.
11,AKLV0WIZZ356X.csv,A man is painting an image of a girl. He is using pencil. He is outside and there is a girl bending over.,part of the background,hair,neck,shirt,man's face,hand,lady bending/man's face,box,clip,easel
11,AYXIDCIGUA037.csv,A man in an art class is drawing a picture of a woman,hand,head,head and neck,shoulder,face,hand,chin,tarp,clip,picture of woman12,A175PJR0W3LO8I.csv,a man who is naked on top; seated on a portable lawn chair in a grassy area in front of a pond; fishing,part of a fishing rod and pond, with grassy area in foreground.,pond,two fishing rods and a bucket, placed in front of the seated man,seated man's head in the foreground of the pond,seated man with pond in the background,the back of the man's chair,pond,pond,pond,pond
